score,objective,bagging_fraction,learning_rate,num_iterations,num_leaves,feature_fraction,boosting_type
0.521,binary;,0.5,0.005,500,512,1.0,gbdt
0.521,binary;,1.0,0.005,500,512,1.0,gbdt
0.523,binary;,0.5,0.005,500,512,0.8,gbdt
0.523,binary;,0.8,0.005,500,512,0.8,gbdt
0.523,binary;,1.0,0.005,500,512,0.8,gbdt
0.524,binary;,0.8,0.005,500,1024,1.0,gbdt
0.524,binary;,0.8,0.005,500,512,0.5,gbdt
0.524,binary;,1.0,0.005,500,512,0.5,gbdt
0.524,binary;,0.5,0.005,500,512,0.5,gbdt
0.524,binary;,0.5,0.005,500,1024,1.0,gbdt
0.524,binary;,1.0,0.005,500,1024,1.0,gbdt
0.527,binary;,0.5,0.005,500,2048,1.0,gbdt
0.527,binary;,1.0,0.005,500,2048,1.0,gbdt
0.527,binary;,0.8,0.005,500,2048,1.0,gbdt
0.527,binary;,0.8,0.005,500,1024,0.8,gbdt
0.527,binary;,1.0,0.005,500,1024,0.8,gbdt
0.527,binary;,0.5,0.005,500,1024,0.8,gbdt
0.528,binary;,0.5,0.005,500,1024,0.5,gbdt
0.528,binary;,0.8,0.005,500,1024,0.5,gbdt
0.528,binary;,1.0,0.005,500,1024,0.5,gbdt
0.530,binary;,0.5,0.005,1000,512,1.0,gbdt
0.530,binary;,1.0,0.005,1000,512,1.0,gbdt
0.530,binary;,0.8,0.005,1000,512,1.0,gbdt
0.531,binary;,1.0,0.005,500,2048,0.5,gbdt
0.531,binary;,0.8,0.005,500,2048,0.5,gbdt
0.531,binary;,0.5,0.005,500,2048,0.5,gbdt
0.531,binary;,1.0,0.005,500,2048,0.8,gbdt
0.531,binary;,0.5,0.005,500,2048,0.8,gbdt
0.531,binary;,0.8,0.005,500,2048,0.8,gbdt
0.532,binary;,0.8,0.005,1000,512,0.8,gbdt
0.532,binary;,1.0,0.005,1000,512,0.8,gbdt
0.532,binary;,0.5,0.005,1000,512,0.8,gbdt
0.533,binary;,1.0,0.005,1000,512,0.5,gbdt
0.533,binary;,0.8,0.005,1000,512,0.5,gbdt
0.533,binary;,0.5,0.005,1000,512,0.5,gbdt
0.534,binary;,0.8,0.005,1000,1024,1.0,gbdt
0.534,binary;,0.5,0.005,1000,1024,1.0,gbdt
0.534,binary;,1.0,0.005,1000,1024,1.0,gbdt
0.534,binary;,0.5,0.005,500,512,1.0,gbdt
0.534,binary;,1.0,0.005,500,512,1.0,gbdt
